date,state
2020-03-19,California
2020-03-21,Illinois
2020-03-21,New Jersey
2020-03-22,New York
2020-03-22,Ohio
2020-03-23,Connecticut
2020-03-23,Louisiana
2020-03-23,Oregon
2020-03-23,Washington
2020-03-24,Delaware
2020-03-24,Indiana
2020-03-24,Massachusetts
2020-03-24,Michigan
2020-03-24,New Mexico
2020-03-24,West Virginia
2020-03-25,Hawaii
2020-03-25,Idaho
2020-03-25,Vermont
2020-03-25,Wisconsin
2020-03-26,Colorado
2020-03-27,Minnesota
2020-03-27,New Hampshire
2020-03-28,Alaska
2020-03-28,Montana
2020-03-28,Rhode Island
2020-03-30,Kansas
2020-03-30,North Carolina
